system,system_name,met_minimum_performance_goal,achievement_average,achievement_designation,subgroup_average,subgroup_designation,overall_average,final_designation
670.0,Overton County,TRUE,2.0,Satisfactory,2.0,Satisfactory,2.0,Satisfactory
680.0,Perry County,TRUE,1.7,Satisfactory,2.4166666666666665,Advancing,1.9866666666666668,Satisfactory
690.0,Pickett County,FALSE,1.2,Satisfactory,1.0,Marginal,1.12,In Need of Improvement
700.0,Polk County,TRUE,2.6,Advancing,1.75,Satisfactory,2.2600000000000002,Advancing
710.0,Putnam County,TRUE,2.1666666666666665,Advancing,1.8235294117647058,Satisfactory,2.0294117647058822,Advancing
720.0,Rhea County,TRUE,1.3333333333333333,Satisfactory,2.409090909090909,Advancing,1.7636363636363637,Satisfactory
721.0,Dayton City,FALSE,1.75,Satisfactory,1.9,Satisfactory,1.81,In Need of Improvement
730.0,Roane County,TRUE,2.4,Advancing,2.0454545454545454,Advancing,2.2581818181818183,Advancing
740.0,Robertson County,TRUE,2.1666666666666665,Advancing,2.0,Satisfactory,2.0999999999999996,Advancing
750.0,Rutherford County,TRUE,2.3333333333333335,Advancing,2.625,Advancing,2.45,Advancing
751.0,Murfreesboro City,FALSE,2.0,Satisfactory,1.6818181818181819,Satisfactory,1.8727272727272728,In Need of Improvement
760.0,Scott County,FALSE,1.7,Satisfactory,1.3333333333333333,Satisfactory,1.5533333333333332,In Need of Improvement
761.0,Oneida Special School District,TRUE,2.6,Advancing,2.375,Advancing,2.5100000000000002,Advancing
770.0,Sequatchie County,TRUE,1.3,Satisfactory,1.9285714285714286,Satisfactory,1.5514285714285716,Satisfactory
780.0,Sevier County,TRUE,1.75,Satisfactory,1.8125,Satisfactory,1.7750000000000001,Satisfactory
792.0,Shelby County,TRUE,2.5,Advancing,2.5,Advancing,2.5,Advancing
793.0,Arlington City,TRUE,2.9166666666666665,Advancing,3.0416666666666665,Exemplary,2.966666666666667,Advancing
794.0,Bartlett City,TRUE,2.9166666666666665,Advancing,2.769230769230769,Advancing,2.8576923076923073,Advancing
795.0,Collierville City,TRUE,3.0,Advancing,2.923076923076923,Advancing,2.9692307692307693,Advancing
796.0,Germantown City,TRUE,3.0833333333333335,Exemplary,3.125,Exemplary,3.1,Exemplary
797.0,Lakeland City,TRUE,3.25,Exemplary,2.8333333333333335,Advancing,3.0833333333333335,Exemplary
798.0,Millington City,TRUE,2.3333333333333335,Advancing,1.7916666666666667,Satisfactory,2.116666666666667,Advancing
800.0,Smith County,FALSE,1.6,Satisfactory,1.2222222222222223,Satisfactory,1.448888888888889,In Need of Improvement
810.0,Stewart County,TRUE,2.4,Advancing,2.5,Advancing,2.44,Advancing
820.0,Sullivan County,FALSE,1.1,Satisfactory,1.45,Satisfactory,1.24,In Need of Improvement
821.0,Bristol City,TRUE,2.7,Advancing,2.2,Advancing,2.5,Advancing
822.0,Kingsport City,TRUE,2.5,Advancing,2.75,Advancing,2.6,Advancing
830.0,Sumner County,TRUE,3.1666666666666665,Exemplary,3.0,Advancing,3.1,Exemplary
840.0,Tipton County,TRUE,3.1,Exemplary,3.3181818181818183,Exemplary,3.1872727272727275,Exemplary
850.0,Trousdale County,TRUE,3.3,Exemplary,3.642857142857143,Exemplary,3.437142857142857,Exemplary
860.0,Unicoi County,FALSE,1.0833333333333333,Satisfactory,1.2222222222222223,Satisfactory,1.1388888888888888,In Need of Improvement
870.0,Union County,TRUE,2.6,Advancing,2.6875,Advancing,2.635,Advancing
880.0,Van Buren County,TRUE,2.6,Advancing,2.375,Advancing,2.5100000000000002,Advancing
890.0,Warren County,TRUE,1.75,Satisfactory,1.9411764705882353,Satisfactory,1.8264705882352943,Satisfactory
900.0,Washington County,FALSE,1.4,Satisfactory,2.0,Satisfactory,1.6400000000000001,In Need of Improvement
901.0,Johnson City,TRUE,3.4166666666666665,Exemplary,3.264705882352941,Exemplary,3.355882352941176,Exemplary
910.0,Wayne County,TRUE,1.4,Satisfactory,1.4285714285714286,Satisfactory,1.4114285714285715,Satisfactory
920.0,Weakley County,FALSE,2.0,Satisfactory,2.05,Advancing,2.02,In Need of Improvement
930.0,White County,TRUE,2.4,Advancing,2.2777777777777777,Advancing,2.351111111111111,Advancing
940.0,Williamson County,TRUE,3.3333333333333335,Exemplary,3.0833333333333335,Exemplary,3.2333333333333334,Exemplary
941.0,Franklin Special School District,TRUE,3.5,Exemplary,3.35,Exemplary,3.4400000000000004,Exemplary
950.0,Wilson County,TRUE,2.9166666666666665,Advancing,2.75,Advancing,2.8499999999999996,Advancing
951.0,Lebanon Special School District,FALSE,2.125,Advancing,2.0,Satisfactory,2.075,In Need of Improvement
960.0,West Tenn School for Deaf,FALSE,NaN,,NaN,,NaN,In Need of Improvement
961.0,Alvin C. York Institute,TRUE,2.0,Satisfactory,3.5,Exemplary,2.6,Advancing
963.0,Tenn School for Blind,FALSE,1.0,Marginal,NaN,,1.0,In Need of Improvement
964.0,Tenn School for Deaf,FALSE,1.5,Satisfactory,NaN,,1.5,In Need of Improvement
970.0,Department of Children's Services,FALSE,NaN,,NaN,,NaN,In Need of Improvement
985.0,Achievement School District,TRUE,1.9,Satisfactory,1.25,Satisfactory,1.64,Satisfactory
